Horodateur,Veuillez sélectionner votre catégorie d'âge.,Vous êtes :,"Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
","Notez ce paysage
",Notez ce paysage,Notez cette activité,Notez cette activité,Notez cette activité,Notez cette activité,Notez cette activité,Notez cette activité,Notez cette activité,Notez cette spécialité : la Choucroute,Notez cette spécialité : le Bœuf bourguignon ,Notez cette spécialité : Moules Frites,Notez cette spécialité : la Raclette,Notez cette spécialité : les Escargots ,Notez cette spécialité : les Galettes,Notez cette spécialité : Quiche Lorraine ,"En vacances, vous aimez rencontrer de nouvelles personnes","En  vacances, vous aimez passer vos journées à vous reposer  ","En  vacances, vous aimez passer vos soirées à faire la fête  ","En  vacances, vous aimez l'aventure ","En  vacances, vous aimez faire du sport ","En  vacances, vous aimez découvrir de nouvelles cultures ",Quelle est votre destination préférée en France ?,"Si vous souhaitez recevoir votre recommandation, merci de renseigner votre adresse mail :"
10/11/2022 12:46:43,26-35,Homme,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'adore,J'adore,Bof,J'aime bien,Bof,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'adore,Bof,J'adore,Tout à fait d'accord,Tout à fait d'accord,Ne sait pas,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Auvergne ,
10/11/2022 13:34:16,18-25,Homme,Bof,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'adore,J'adore,Je n'aime pas trop,Je n'aime pas trop,J'aime bien,J'aime bien,Bof,J'aime bien,J'aime bien,Bof,Je n'aime pas trop,J'aime bien,J'aime bien,J'adore,Je n'aime pas du tout,Je n'aime pas trop,J'aime bien,J'aime bien,Je n'aime pas du tout,J'aime bien,Je n'aime pas trop,D'accord,D'accord,Pas d'accord,Tout à fait d'accord,D'accord,D'accord,Luberon,
10/11/2022 14:06:50,26-35,Homme,Bof,J'aime bien,J'aime bien,Bof,Bof,Bof,Je n'aime pas du tout,Je n'aime pas trop,Je n'aime pas trop,J'aime bien,Bof,J'aime bien,Je n'aime pas trop,Je n'aime pas du tout,Bof,Bof,Bof,J'aime bien,Bof,Je n'aime pas du tout,Je n'aime pas du tout,Je n'aime pas du tout,J'aime bien,Je n'aime pas du tout,Je n'aime pas du tout,Je n'aime pas du tout,Pas du tout d'accord,D'accord,D'accord,Pas d'accord,Pas du tout d'accord,D'accord,Hyères,
10/11/2022 14:35:32,18-25,Femme,J'aime bien,J'adore,J'aime bien,Bof,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'adore,J'adore,Je n'aime pas du tout,J'aime bien,J'aime bien,J'adore,J'aime bien,J'aime bien,Je n'aime pas du tout,J'adore,J'adore,J'adore,Je n'aime pas du tout,Bof,J'aime bien,D'accord,D'accord,Pas d'accord,Ne sait pas,D'accord,Tout à fait d'accord,Saint Raphaël ,
10/11/2022 16:34:16,18-25,Homme,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,J'aime bien,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,Bof,J'aime bien,J'adore,J'adore,J'adore,J'adore,Bof,Tout à fait d'accord,Pas d'accord,Pas d'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,Les Gorges du Verdon,
11/11/2022 00:58:42,26-35,Homme,Bof,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,Bof,Bof,J'aime bien,J'aime bien,J'adore,J'aime bien,Bof,Je n'aime pas trop,Bof,Bof,Bof,Bof,J'aime bien,J'aime bien,Bof,J'adore,Bof,J'aime bien,J'aime bien,Pas d'accord,D'accord,D'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,Saint Raphaël ,
11/11/2022 14:02:30,18-25,Femme,Bof,Bof,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,Bof,J'aime bien,Je n'aime pas trop,J'aime bien,J'aime bien,J'adore,Je n'aime pas trop,J'aime bien,J'adore,Ne sait pas,D'accord,Pas d'accord,Tout à fait d'accord,Ne sait pas,D'accord,Bormes les Mimosas,
14/11/2022 14:39:29,18-25,Femme,J'adore,J'adore,Bof,Je n'aime pas trop,J'aime bien,J'aime bien,Je n'aime pas trop,J'aime bien,J'adore,J'adore,J'adore,J'aime bien,J'aime bien,J'adore,Je n'aime pas trop,J'aime bien,Je n'aime pas du tout,J'aime bien,J'adore,Je n'aime pas trop,J'aime bien,J'aime bien,Bof,Je n'aime pas du tout,J'adore,J'aime bien,Pas du tout d'accord,Tout à fait d'accord,Pas d'accord,D'accord,Pas du tout d'accord,Tout à fait d'accord,Les Alpes,
15/11/2022 12:15:34,18-25,Homme,J'aime bien,J'aime bien,J'adore,J'aime bien,J'adore,J'aime bien,J'aime bien,Bof,Bof,Bof,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,J'aime bien,J'adore,J'aime bien,J'adore,Bof,Bof,Bof,J'aime bien,Bof,Bof,Bof,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Marseille ,
15/11/2022 12:19:22,26-35,Femme,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,Bof,J'adore,J'adore,J'adore,J'aime bien,J'aime bien,Bof,Tout à fait d'accord,D'accord,Tout à fait d'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,Biarritz,
15/11/2022 12:21:17,18-25,Femme,Bof,J'adore,J'adore,J'adore,J'adore,J'aime bien,Bof,Je n'aime pas trop,J'aime bien,J'adore,J'adore,J'aime bien,J'aime bien,Je n'aime pas du tout,J'adore,Je n'aime pas du tout,J'aime bien,J'adore,J'adore,Bof,Je n'aime pas trop,J'adore,Je n'aime pas du tout,J'aime bien,J'adore,J'adore,D'accord,D'accord,D'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,La Provence ,
15/11/2022 12:22:47,18-25,Femme,J'aime bien,J'adore,J'aime bien,J'aime bien,J'adore,J'aime bien,J'adore,J'aime bien,J'aime bien,J'adore,J'adore,J'adore,J'adore,Je n'aime pas du tout,Bof,J'adore,Bof,J'adore,J'adore,Je n'aime pas du tout,Je n'aime pas trop,J'aime bien,J'adore,J'aime bien,J'adore,J'aime bien,D'accord,D'accord,D'accord,D'accord,D'accord,Tout à fait d'accord,Chamonix,
15/11/2022 12:23:00,18-25,Femme,J'adore,J'adore,J'adore,Bof,J'adore,J'adore,J'aime bien,J'aime bien,J'adore,J'aime bien,J'adore,J'aime bien,Je n'aime pas trop,J'aime bien,Bof,J'aime bien,J'aime bien,J'adore,J'adore,Je n'aime pas trop,J'aime bien,J'aime bien,Bof,Bof,J'aime bien,J'aime bien,Tout à fait d'accord,Pas d'accord,Pas d'accord,D'accord,Ne sait pas,Tout à fait d'accord,Nice,
15/11/2022 12:24:07,18-25,Femme,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'adore,Je n'aime pas trop,Je n'aime pas trop,Bof,J'adore,J'adore,J'adore,J'adore,Je n'aime pas trop,Je n'aime pas trop,J'aime bien,J'aime bien,J'aime bien,Je n'aime pas du tout,J'adore,Bof,J'adore,Je n'aime pas du tout,J'adore,J'aime bien,D'accord,Pas d'accord,D'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,Luberon,
15/11/2022 13:04:13,18-25,Homme,J'aime bien,J'adore,J'aime bien,Bof,J'aime bien,J'aime bien,Bof,J'aime bien,Bof,J'aime bien,J'aime bien,J'adore,Bof,J'aime bien,J'aime bien,J'adore,Bof,J'adore,J'aime bien,Je n'aime pas trop,J'adore,J'adore,J'adore,Bof,J'adore,Je n'aime pas trop,D'accord,D'accord,Ne sait pas,D'accord,Pas d'accord,D'accord,La Corse,
15/11/2022 13:10:04,18-25,Femme,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'aime bien,J'aime bien,J'adore,J'adore,J'adore,J'adore,Je n'aime pas du tout,J'adore,Je n'aime pas du tout,J'adore,Je n'aime pas du tout,J'adore,J'adore,D'accord,D'accord,D'accord,D'accord,Pas d'accord,Tout à fait d'accord,Val Thorens,
15/11/2022 13:18:42,18-25,Femme,Bof,J'aime bien,J'adore,J'aime bien,J'adore,Je n'aime pas trop,J'aime bien,Bof,Je n'aime pas du tout,J'aime bien,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'aime bien,J'adore,J'adore,Je n'aime pas du tout,Je n'aime pas trop,J'adore,J'adore,Je n'aime pas du tout,J'adore,Bof,Tout à fait d'accord,Pas d'accord,Tout à fait d'accord,Tout à fait d'accord,Pas d'accord,Tout à fait d'accord,Marseille,
15/11/2022 13:33:54,18-25,Femme,Je n'aime pas trop,J'adore,J'adore,J'adore,J'adore,Je n'aime pas trop,J'adore,J'aime bien,Bof,J'adore,Je n'aime pas trop,J'adore,J'aime bien,Je n'aime pas du tout,J'adore,J'adore,Je n'aime pas trop,J'aime bien,Je n'aime pas du tout,J'adore,J'adore,J'adore,J'adore,J'aime bien,J'aime bien,J'aime bien,Ne sait pas,Pas d'accord,Ne sait pas,Tout à fait d'accord,D'accord,D'accord,Pyrénées,
15/11/2022 13:38:59,18-25,Homme,J'aime bien,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'aime bien,Bof,Bof,J'adore,J'aime bien,J'adore,J'adore,Bof,J'adore,J'adore,Je n'aime pas trop,J'adore,J'aime bien,Bof,J'aime bien,Bof,J'adore,Je n'aime pas du tout,J'adore,J'adore,D'accord,Pas du tout d'accord,Pas du tout d'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,Annecy,
15/11/2022 14:01:15,26-35,Homme,J'aime bien,J'aime bien,J'adore,J'aime bien,J'aime bien,J'adore,J'aime bien,Bof,Bof,J'aime bien,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'adore,J'adore,Bof,Je n'aime pas trop,J'aime bien,J'aime bien,J'adore,J'adore,Je n'aime pas trop,J'adore,Je n'aime pas trop,D'accord,Ne sait pas,Pas d'accord,D'accord,D'accord,Tout à fait d'accord,Annecy,
15/11/2022 14:48:09,18-25,Femme,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'adore,Bof,Je n'aime pas trop,J'aime bien,J'aime bien,J'adore,J'aime bien,Je n'aime pas trop,Je n'aime pas trop,J'aime bien,Bof,Je n'aime pas trop,J'adore,Bof,J'adore,J'adore,Bof,J'adore,Je n'aime pas du tout,J'adore,Bof,D'accord,Pas d'accord,D'accord,D'accord,Ne sait pas,Tout à fait d'accord,Le pont du diable,
15/11/2022 17:20:57,18-25,Homme,Bof,J'aime bien,J'adore,J'aime bien,J'adore,J'aime bien,J'aime bien,Bof,Bof,Bof,J'adore,J'aime bien,J'aime bien,Je n'aime pas du tout,J'aime bien,J'adore,J'adore,J'aime bien,Bof,Je n'aime pas trop,Je n'aime pas trop,J'aime bien,J'aime bien,Je n'aime pas du tout,J'aime bien,Bof,D'accord,D'accord,D'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Bordeaux,
16/11/2022 17:47:36,18-25,Homme,J'adore,J'adore,J'aime bien,Je n'aime pas trop,J'aime bien,J'aime bien,J'aime bien,J'adore,Bof,Bof,J'adore,J'adore,J'adore,Je n'aime pas du tout,J'aime bien,J'aime bien,J'adore,J'aime bien,J'adore,Je n'aime pas trop,Je n'aime pas trop,J'adore,J'adore,J'adore,J'adore,J'adore,D'accord,Tout à fait d'accord,D'accord,D'accord,Tout à fait d'accord,Pas d'accord,L'Aiguille du Midi (Haute-Savoie),
16/11/2022 20:14:53,46 et plus,Femme,J'adore,J'aime bien,J'adore,J'aime bien,J'aime bien,J'aime bien,J'adore,Bof,J'aime bien,Bof,J'adore,J'aime bien,Je n'aime pas trop,Je n'aime pas du tout,Bof,Je n'aime pas du tout,Je n'aime pas du tout,J'aime bien,J'aime bien,J'aime bien,Je n'aime pas du tout,J'adore,Bof,Je n'aime pas du tout,J'aime bien,Bof,D'accord,D'accord,D'accord,D'accord,Pas d'accord,Tout à fait d'accord,Var,
16/11/2022 20:29:28,36-45,Homme,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,J'aime bien,J'aime bien,J'aime bien,Bof,J'aime bien,J'aime bien,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,Bof,D'accord,D'accord,D'accord,Tout à fait d'accord,Pas d'accord,Tout à fait d'accord,L'Aiguille du Midi (Haute-Savoie),
16/11/2022 20:34:10,46 et plus,Homme,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,Je n'aime pas trop,J'adore,Je n'aime pas trop,J'aime bien,J'adore,J'aime bien,J'adore,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,Tout à fait d'accord,D'accord,D'accord,D'accord,D'accord,Tout à fait d'accord,Carcassonne ,
16/11/2022 20:35:12,46 et plus,Homme,J'aime bien,J'adore,J'aime bien,Bof,J'aime bien,J'adore,J'aime bien,J'aime bien,J'aime bien,J'adore,J'aime bien,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,J'aime bien,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,D'accord,D'accord,Ne sait pas,D'accord,D'accord,D'accord,Pays Basque ,
16/11/2022 20:39:04,36-45,Femme,J'aime bien,J'adore,J'adore,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'adore,J'aime bien,J'aime bien,J'adore,J'adore,Je n'aime pas trop,Je n'aime pas trop,J'adore,J'adore,J'adore,J'adore,J'aime bien,Je n'aime pas trop,Bof,J'adore,J'aime bien,Je n'aime pas du tout,J'adore,J'aime bien,D'accord,Pas d'accord,D'accord,D'accord,Tout à fait d'accord,Tout à fait d'accord,Île de la Réunion ,
16/11/2022 21:10:54,46 et plus,Femme,J'aime bien,J'adore,J'aime bien,Bof,Je n'aime pas trop,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'adore,J'aime bien,Je n'aime pas trop,J'adore,J'aime bien,Bof,Je n'aime pas du tout,Bof,Je n'aime pas du tout,Je n'aime pas du tout,J'adore,J'adore,Je n'aime pas du tout,J'adore,J'adore,D'accord,Pas d'accord,Ne sait pas,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Normandie,
16/11/2022 21:35:19,36-45,Femme,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'adore,J'adore,Bof,Je n'aime pas du tout,J'aime bien,J'aime bien,J'aime bien,J'adore,J'adore,J'aime bien,J'aime bien,J'adore,J'adore,J'adore,J'adore,J'aime bien,D'accord,Pas d'accord,D'accord,Pas d'accord,Pas d'accord,D'accord,Périgord ,
17/11/2022 10:01:49,18-25,Homme,J'aime bien,J'adore,J'adore,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'adore,J'aime bien,J'aime bien,J'adore,Bof,J'aime bien,J'aime bien,J'adore,J'adore,Bof,J'adore,J'aime bien,J'adore,Bof,Bof,J'aime bien,Ne sait pas,Ne sait pas,Pas d'accord,D'accord,Pas d'accord,Tout à fait d'accord,Marseille ,
17/11/2022 10:14:50,46 et plus,Femme,J'adore,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,J'aime bien,J'aime bien,J'adore,J'aime bien,J'aime bien,J'adore,Bof,J'adore,J'adore,J'aime bien,J'adore,J'aime bien,J'aime bien,Tout à fait d'accord,Tout à fait d'accord,D'accord,D'accord,Tout à fait d'accord,D'accord,La Corse,
17/11/2022 10:17:10,18-25,Femme,J'aime bien,Bof,J'adore,Je n'aime pas trop,J'aime bien,J'aime bien,J'aime bien,Je n'aime pas trop,Bof,Je n'aime pas trop,J'adore,J'aime bien,Bof,J'aime bien,J'aime bien,Je n'aime pas trop,J'aime bien,J'aime bien,J'adore,Bof,J'aime bien,J'aime bien,J'adore,Je n'aime pas trop,J'aime bien,J'aime bien,Ne sait pas,D'accord,Pas d'accord,Tout à fait d'accord,Pas d'accord,Tout à fait d'accord,Nice,
17/11/2022 10:43:11,18-25,Femme,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,Bof,J'adore,J'aime bien,J'aime bien,J'adore,J'adore,J'adore,J'adore,Je n'aime pas du tout,J'adore,J'aime bien,Ne sait pas,Pas d'accord,D'accord,D'accord,D'accord,Ne sait pas,Champagny ,
17/11/2022 11:09:29,18-25,Homme,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,Bof,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,Je n'aime pas du tout,J'aime bien,J'aime bien,J'aime bien,J'adore,J'adore,Je n'aime pas du tout,J'adore,J'adore,J'adore,Je n'aime pas du tout,J'adore,J'adore,D'accord,Tout à fait d'accord,D'accord,D'accord,Tout à fait d'accord,Tout à fait d'accord,Saint Raphaël ,
17/11/2022 11:51:11,18-25,Femme,J'aime bien,Bof,J'adore,J'aime bien,J'aime bien,J'aime bien,J'aime bien,Je n'aime pas trop,Bof,Je n'aime pas trop,J'adore,Bof,Bof,Je n'aime pas du tout,Je n'aime pas du tout,Je n'aime pas trop,Je n'aime pas trop,J'adore,J'adore,J'aime bien,J'aime bien,J'adore,J'adore,Je n'aime pas du tout,J'adore,J'adore,Pas du tout d'accord,Tout à fait d'accord,Pas d'accord,Pas du tout d'accord,Pas du tout d'accord,D'accord,Bormes les Mimosas,
17/11/2022 16:28:49,18-25,Femme,J'aime bien,J'adore,J'adore,J'aime bien,J'aime bien,J'aime bien,Bof,Bof,J'aime bien,J'aime bien,J'adore,J'aime bien,Je n'aime pas trop,Je n'aime pas trop,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,Je n'aime pas trop,Je n'aime pas trop,Bof,J'adore,Je n'aime pas du tout,J'adore,Bof,D'accord,Ne sait pas,Pas d'accord,D'accord,Pas d'accord,Tout à fait d'accord,La Normandie,
17/11/2022 16:30:25,18-25,Femme,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'aime bien,J'aime bien,J'adore,J'aime bien,J'adore,J'adore,J'aime bien,J'adore,J'aime bien,J'adore,J'aime bien,J'aime bien,J'adore,Je n'aime pas trop,Je n'aime pas trop,Je n'aime pas du tout,J'adore,Je n'aime pas du tout,J'aime bien,J'adore,Tout à fait d'accord,D'accord,Pas d'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,Les Gorges du Verdon,
17/11/2022 17:25:49,Moins de 18 ans,Femme,J'adore,J'aime bien,J'adore,J'aime bien,J'aime bien,J'aime bien,Bof,Bof,Bof,Bof,J'aime bien,Bof,Bof,Bof,Bof,Bof,Bof,J'aime bien,J'aime bien,Je n'aime pas trop,Je n'aime pas trop,Je n'aime pas du tout,Bof,Je n'aime pas du tout,J'adore,J'aime bien,D'accord,D'accord,Pas d'accord,D'accord,Pas d'accord,D'accord,Bormes les Mimosas,
17/11/2022 18:53:26,18-25,Femme,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,J'aime bien,Bof,Bof,J'aime bien,J'aime bien,J'aime bien,Je n'aime pas du tout,Je n'aime pas trop,Bof,Je n'aime pas trop,J'aime bien,J'aime bien,Je n'aime pas du tout,J'aime bien,J'aime bien,J'aime bien,Bof,J'aime bien,Je n'aime pas du tout,D'accord,D'accord,D'accord,D'accord,D'accord,D'accord,Val Thorens,
17/11/2022 19:15:30,36-45,Femme,J'adore,J'adore,J'adore,Je n'aime pas trop,J'aime bien,J'adore,J'adore,J'aime bien,J'aime bien,J'aime bien,J'adore,J'adore,J'adore,Je n'aime pas trop,Je n'aime pas trop,Je n'aime pas du tout,Je n'aime pas du tout,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,J'adore,D'accord,Tout à fait d'accord,Pas d'accord,D'accord,D'accord,Tout à fait d'accord,Macif du Mont Blanc,
17/11/2022 20:49:12,46 et plus,Femme,J'aime bien,J'aime bien,J'adore,J'aime bien,J'adore,J'adore,Bof,Bof,J'aime bien,J'adore,J'aime bien,J'aime bien,Je n'aime pas trop,J'aime bien,Bof,Je n'aime pas trop,Je n'aime pas du tout,J'aime bien,Je n'aime pas trop,J'aime bien,J'aime bien,Je n'aime pas trop,J'aime bien,Je n'aime pas du tout,J'adore,J'adore,D'accord,Pas d'accord,Pas d'accord,D'accord,Pas d'accord,Tout à fait d'accord,Annecy,
